text_a	text_b	label
Didn't it mean that doing B-ultrasound is not good for the baby? Is that a pregnancy test? Didn't it mean that doing B-ultrasound is not good for the baby? The fewer pregnancy tests, the better. No hassle answer, thanks.	B-ultrasound belongs to ultrasound. Frequent inspection is not good and there is no need for frequent inspection. Generally, check at two months of pregnancy, check at five months of pregnancy, check at the time of birth, and check if you feel uncomfortable.	1
Didn't it mean that doing B-ultrasound is not good for the baby? Is that a pregnancy test? Didn't it mean that doing B-ultrasound is not good for the baby? The fewer pregnancy tests, the better. No hassle answer, thanks.	B-ultrasound does have a certain amount of radiation, and children are relatively delicate and easily affected by radiation. Babies try not to do B-ultrasound, but they are protected by the mother during the fetal period, so don't worry, if necessary, you must do it.	1
What's the matter with backache accompanied by distending pain in the lower abdomen, and there is a small amount of blood in the guide?	It may be caused by gynecological inflammation. It is recommended to place Dakning Suppository orally take Sanjin Tablets and Longdan Xiegan Pills. If you are worried, you can do a mycoplasma test.	1
What's the matter with backache accompanied by distending pain in the lower abdomen, and there is a small amount of blood in the guide?	As far as your situation is concerned, it is caused by pelvic inflammatory disease and other conditions. You can go to the hospital for B-ultrasound examination to determine the cause.	1
What's the matter with backache accompanied by distending pain in the lower abdomen, and there is a small amount of blood in the guide?	Symptoms of backache and lower abdominal pain in gynecology are related to gynecological diseases. Backache can be caused by many reasons. The most common gynecological diseases such as cervical erosion, pelvic inflammatory disease and endometriosis can cause backache. In addition to diseases, backaches can also occur during menstruation and late pregnancy, and many people have backaches caused by nephritis, so if you often have backaches, you should go to the hospital for examination and treatment.	1
Low back pain, it may be kidney deficiency, what medicine do you take for low back pain	Consider your situation. There are many reasons for low back pain. The more common ones are lumbar hyperosteogeny, bone spurs, intervertebral disc herniation, lumbar hypertrophy, spinal stenosis, lumbar fractures, spinal canal tumors, acute and chronic lumbar trauma or strain, lumbar muscle strain, and stiffness. Spondylitis etc. It is recommended that you go to the hospital to take a waist X-ray to check if you have time, and to treat the symptoms	1
I was hung up with azithromycin for seven days when I was more than two months pregnant. It is now 32 weeks. I have done both Down syndrome and Siwei. There is no problem, but I am still a little worried. Is there any problem?	Analyzing the above situation, you belong to the medication in the early stage of pregnancy. Generally, there will be no problem taking the above-mentioned medicines, so don’t worry too much. It is recommended to do a good job in fetal examination during pregnancy, and timely symptomatic treatment of problems. You can also take folic acid for appropriate preventive treatment, and pay attention to avoid overwork during the period. Just add more water.	1
There is a red blood-like thing in the baby's nostril, is it a birthmark?	In the above situation, there is no picture, and it is not clear what caused the problem at present. Then the possibility of a birthmark in this location is relatively small. Then you can upload a picture to see at present, or go directly to the hospital for treatment. Without pictures, it is impossible to know what it is.	1
The child stutters clearly and feels that the mouth cannot be opened and the tongue is not flexible? The child stutters clearly and feels that the mouth cannot be opened and the tongue is not flexible.	Try to practice and read it while reading. Just let yourself speak, practice from less to more. The most important thing is to persevere. Stuttering may be related to the child’s psychological factors. Usually under the influence of nervousness, anxiety and other negative emotions, the phenomenon of stuttering and fear will appear. The key is to pay attention to your education methods. Don’t be too strict and let the child feel some pressure It will appear under certain circumstances, which is not good for the child's psychology.	1
Lumbar disc herniation sciatica left lower limb pain lumbar disc herniation bone hyperplasia compression nerve pain medicine	Lumbar disc herniation is easy to suffer and difficult to treat, with many and complicated symptoms, and is closely related to degenerative changes of the intervertebral disc (age), long-term strain, trauma, old injuries, bad posture, and habits. When the lumbar disc herniation compresses the nerve, it will cause A series of symptoms such as waist and leg pain, radiating pain of lower limbs, numbness of lower limbs, intermittent claudication, sciatica, and even incontinence and paralysis appear. Lumbar disc herniation is generally caused by excessive pressure on the waist, intense exercise and other reasons. Drug treatment is not effective and cannot fundamentally solve the problem. Traction, physical therapy, and massage therapy can be used. If the condition is serious and the oppression symptoms are severe, you should go to a regular hospital in time to take a picture, do a comprehensive examination, and formulate a suitable treatment method according to the condition.	1
Lumbar disc herniation sciatica left lower limb pain lumbar disc herniation bone hyperplasia compression nerve pain medicine	It is determined that the above-mentioned diseases are oppressing the nerves, which means that it is more serious. In the short term, you should stay in bed and actively adjust with drugs. Generally speaking, you can choose lumbar traction, cooperate with Huoxue Zhitong Capsules, Fenbid, Mecobalamin and other drugs for treatment. should pay attention to rest	1
Lumbar disc herniation sciatica left lower limb pain lumbar disc herniation bone hyperplasia compression nerve pain medicine	Case analysis: Nerve compression caused by lumbar disc herniation can lead to lower limb weakness and radiating pain	1
What Causes Thigh Pain During Pregnancy? nine months pregnant	In your case, consider that it is caused by calcium deficiency. It is recommended to provide calcium-rich foods in time, such as fish, shrimp skin, kelp, rib soup, and eat more vitamin D-rich foods, such as pork liver, lamb liver, Beef liver, to promote calcium absorption. It is recommended that you review the ultrasound examination and fetal heart rate monitoring to check the development of the fetus in the uterus.	1
Xuancheng is a good hospital for the treatment of cholecystitis. I have symptoms of cholecystitis, and all five items of hepatitis B are normal.	Dietary taboos for chronic cholecystitis 1. Avoid spicy food: 2. Avoid tobacco and alcohol: , Avoid processed food:. 4. Avoid indiscriminate use of supplements: 5. Avoid abuse of hormones and antibiotics: 6. Avoid excessive consumption of protein diets: Avoid high-copper diets, which can be treated with Longdan Xiegan Decoction. Dietary taboos for chronic cholecystitis 1. Avoid spicy food: 2. Avoid tobacco and alcohol: , Avoid processed food:. 4. Avoid indiscriminate use of supplements: 5. Avoid abuse of hormones and antibiotics: 6. Avoid excessive consumption of protein diets: Avoid high-copper diets, which can be treated with Longdan Xiegan Decoction.	1
I am almost 25 years old, and I am 18 weeks pregnant. The risk rate of trisomy 18 is 1:820. Is it normal?	The situation is the problem of sugar screening. Your index is still good. It can only be said that it is a low risk but it cannot be completely ruled out.	1
Pregnant, is hyperthyroidism 0.02 serious?	The current situation shows that if there is hyperthyroidism, it is best to take propylthiouracil to regulate thyroid function. The drug will not affect the intrauterine development of the fetus, and it is a relatively safe drug.	1
The panel is itchy, what to do?	Skin itching, this situation is more common caused by skin allergies, you can take Claritan, vitamin C, calamine lotion or cyproheptadine ointment for external use. Don't eat spicy food, don't drink alcohol, keep hygienic.	1
The middle finger of my right hand is sprained, and now the back of the hand and the fingers next to it are a bit swollen, but the right hand can still move around as if there is no pain. May I ask how to reduce the swelling of the child's right hand? Is the relationship serious? what to do?	The back of the hand and fingers on the side are a little swollen, which is caused by muscle damage, which cannot be recovered temporarily. Don’t worry, it is recommended to do physical therapy for a few days, and it will recover soon	1
